model,n_splits,weighted_f1_mean,weighted_f1_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
scGPT_LR,10,0.7676300321539331,0.0051160454716864005,0.7468162183099663,0.0075526017154403345,0.7718230403800475,0.005089539017755788
scGPT_MLP,10,0.8514084564376908,0.0051686863214619365,0.8229287530207644,0.009261087609324968,0.8517220902612828,0.005152563548226126
