model,setting,train_tissue,test_tissue,n_train,n_test,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
logistic_regression,random_stratified_split,mixed,mixed,,,0.9067695961995248,0.8875400907105004,0.9044420455756352,0.895176205512631,0.9077752140837888,0.9067695961995248,0.9065147049281744
knn,random_stratified_split,mixed,mixed,,,0.8889548693586699,0.9073258062425136,0.855563060201034,0.8750658653949338,0.8942070927653455,0.8889548693586699,0.8875084302099198
logreg_cross_tissue_blood_to_synovial,cross_tissue_blood_to_synovial,blood,synovial fluid,6762,10074,0.7504466944609887,0.6658347287297124,0.6921798550012409,0.6705690062488413,0.7678448504397006,0.7504466944609887,0.753498922080178
knn_cross_tissue_blood_to_synovial,cross_tissue_blood_to_synovial,blood,synovial fluid,6762,10074,0.3964661504864006,0.6099524160112728,0.6034882469971482,0.4445931491799988,0.6849604440306186,0.3964661504864006,0.437608786245832
