,C1,C2,C3,CD56bright NK,CD56dim NK,Cycling NK,ILC2,ILC3,Naïve-like ILC
C1,343,88,12,107,13,15,7,4,11
C2,105,354,47,33,36,17,2,0,6
C3,18,50,106,11,8,10,1,0,1
CD56bright NK,67,15,2,310,27,8,3,0,3
CD56dim NK,3,24,4,30,535,4,0,0,0
Cycling NK,22,16,7,2,8,497,0,2,0
ILC2,6,5,1,3,0,0,152,4,3
ILC3,15,1,3,1,0,0,10,36,15
Naïve-like ILC,39,9,3,8,0,3,11,6,40
