model,setting,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
geneformer_blood_to_synovial_lr,blood_to_synovial,0.3729402422076633,0.35728554677557517,0.4266123712369266,0.26838045520032605,0.5637056860550747,0.3729402422076633,0.37691636081921126
geneformer_blood_to_synovial_mlp,blood_to_synovial,0.24697240420885447,0.33712514872006993,0.38798920888121247,0.18128000228785643,0.5269944043451994,0.24697240420885447,0.2428010169216849
