,C1,C2,C3,CD56bright NK,CD56dim NK,Cycling NK,ILC2,ILC3,Naïve-like ILC
C1,475,26,12,46,0,17,0,2,22
C2,12,544,30,1,1,11,0,1,0
C3,10,11,180,1,1,1,0,0,1
CD56bright NK,21,0,0,410,0,1,1,0,2
CD56dim NK,0,1,1,4,588,6,0,0,0
Cycling NK,10,16,2,2,10,514,0,0,0
ILC2,0,0,0,0,0,1,172,0,1
ILC3,1,1,0,0,0,0,0,73,6
Naïve-like ILC,9,0,1,1,0,0,2,8,98
