,C1,C2,C3,CD56bright NK,CD56dim NK,Cycling NK,ILC2,ILC3,Naïve-like ILC
C1,293,81,32,106,6,9,9,16,48
C2,92,335,87,30,15,14,7,3,17
C3,12,35,133,8,3,7,1,4,2
CD56bright NK,54,25,8,306,16,7,4,5,10
CD56dim NK,3,21,7,28,537,4,0,0,0
Cycling NK,10,11,8,3,6,502,4,4,6
ILC2,0,3,0,3,0,0,154,9,5
ILC3,5,1,3,0,0,2,10,39,21
Naïve-like ILC,21,4,3,5,0,0,10,15,61
