split_seed,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
0,scGPT_LR,0.774643705463183,0.7337738037388647,0.7645197538163623,0.740357478567701,0.7853033554368888,0.774643705463183,0.7706105914301694
0,scGPT_MLP,0.8435273159144893,0.8148960134697976,0.8019661250168958,0.8068021124519823,0.8435954673725319,0.8435273159144893,0.8428494165762584
1,scGPT_LR,0.7710807600950119,0.7380881028662779,0.7792611436963434,0.7460672219981632,0.7834405050190387,0.7710807600950119,0.764665449799813
1,scGPT_MLP,0.8527315914489311,0.8320950676715558,0.8218684318392216,0.8260818084503229,0.8512256359850963,0.8527315914489311,0.8517057133240987
2,scGPT_LR,0.7687054631828979,0.7340304506280521,0.779967762616253,0.7446731880434111,0.7837648604350652,0.7687054631828979,0.7648974465230733
2,scGPT_MLP,0.8595605700712589,0.8437928405806625,0.835477244060779,0.837579904563084,0.8614175110279678,0.8595605700712589,0.8598697574082566
3,scGPT_LR,0.7752375296912114,0.7457899944377888,0.7898106011199301,0.7564603561374937,0.791305988055646,0.7752375296912114,0.7726253496706716
3,scGPT_MLP,0.8565914489311164,0.8445262941690886,0.8287061910105412,0.8329795976875733,0.8606758053802868,0.8565914489311164,0.8569877730239425
4,scGPT_LR,0.7719714964370546,0.7342931838890313,0.7775706837314144,0.744426577935366,0.7846105519279368,0.7719714964370546,0.7669570440078175
4,scGPT_MLP,0.8542161520190024,0.8338427269065016,0.80860001273985,0.8194331430030061,0.854412147608237,0.8542161520190024,0.8534339810646043
5,scGPT_LR,0.7764251781472684,0.7420934545626481,0.78894710926386,0.754617388236681,0.7878897300267378,0.7764251781472684,0.7715534909458327
5,scGPT_MLP,0.8479809976247031,0.8360580315366966,0.8129410378680652,0.8225635878884217,0.8482235725669411,0.8479809976247031,0.8468638026568269
6,scGPT_LR,0.7734560570071259,0.7359093192388345,0.7830037337788143,0.7485276702414695,0.7861384490221137,0.7734560570071259,0.7690047534778427
6,scGPT_MLP,0.8533254156769596,0.8291452287336292,0.8304848178370705,0.8286479325404418,0.8543532657587681,0.8533254156769596,0.8527346211548559
7,scGPT_LR,0.7779097387173397,0.7449379068417654,0.7882505153140754,0.7550613585147432,0.7923419805019838,0.7779097387173397,0.7740740587500897
7,scGPT_MLP,0.8554038004750594,0.8272929373016784,0.8074975550606944,0.8120573802926216,0.8567925670610289,0.8554038004750594,0.8541602768575189
8,scGPT_LR,0.7684085510688836,0.7319088828865072,0.7838041917538958,0.746514635800934,0.7835630909061896,0.7684085510688836,0.765264619612297
8,scGPT_MLP,0.8456057007125891,0.8125454677267393,0.8262369660018012,0.8184655148113715,0.8479888066056468,0.8456057007125891,0.8464432230918525
9,scGPT_LR,0.7603919239904988,0.7194699853970478,0.763258161356975,0.7314563076236995,0.7729241690318461,0.7603919239904988,0.756647517321725
9,scGPT_MLP,0.8482779097387173,0.8400253649259459,0.8139801760372918,0.8246765485188194,0.8519297967171986,0.8482779097387173,0.8490359992186938
