,C1,C2,C3,CD56bright NK,CD56dim NK,Cycling NK,ILC2,ILC3,Naïve-like ILC
C1,1904,312,167,91,1,30,10,3,167
C2,162,2518,199,5,29,29,27,2,7
C3,36,309,613,1,5,43,0,0,9
CD56bright NK,71,1,6,29,0,0,0,1,3
CD56dim NK,1,11,2,1,65,6,0,0,0
Cycling NK,114,337,45,3,2,1741,5,3,4
ILC2,1,6,5,0,0,1,120,0,4
ILC3,9,7,6,0,0,10,11,244,77
Naïve-like ILC,77,2,3,0,0,4,18,13,326
