,C1,C2,C3,CD56bright NK,CD56dim NK,Cycling NK,ILC2,ILC3,Naïve-like ILC
C1,426,53,14,62,3,15,1,3,23
C2,34,500,33,2,1,22,2,3,3
C3,13,39,144,0,1,4,1,0,3
CD56bright NK,37,2,0,385,3,3,2,1,2
CD56dim NK,2,4,0,10,578,6,0,0,0
Cycling NK,13,23,9,3,9,494,1,2,0
ILC2,1,0,0,0,0,2,166,3,2
ILC3,5,2,0,0,0,0,7,53,14
Naïve-like ILC,23,4,2,1,0,0,1,11,77
