,C1,C2,C3,CD56bright NK,CD56dim NK,Cycling NK,ILC2,ILC3,Naïve-like ILC
C1,437,34,12,95,4,10,0,1,7
C2,51,510,18,2,2,16,0,0,1
C3,22,35,142,1,1,2,0,1,1
CD56bright NK,29,1,0,399,3,1,1,0,1
CD56dim NK,1,2,0,4,590,3,0,0,0
Cycling NK,14,27,8,3,12,489,0,1,0
ILC2,1,0,0,0,0,3,167,2,1
ILC3,3,1,0,0,0,0,2,64,11
Naïve-like ILC,23,1,1,0,0,0,1,6,87
