model,n_splits,weighted_f1_mean,weighted_f1_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
PCA_LR,10,0.9036069276505112,0.002999300858037455,0.8879566267194334,0.003965102862309098,0.903562945368171,0.002994742972413228
PCA_MLP,10,0.9079473182188226,0.004609551810061194,0.8993646307991752,0.006542293811506241,0.9080463182897862,0.004642243031443258
PCA_kNN,10,0.8844427790958489,0.00462138580197977,0.8753346615578683,0.00592498869867849,0.8855106888361044,0.0045141926052307295
