,C1,C2,C3,CD56bright NK,CD56dim NK,Cycling NK,ILC2,ILC3,Naïve-like ILC
C1,512,27,0,44,4,7,0,0,6
C2,15,566,0,1,2,16,0,0,0
C3,26,44,132,0,1,2,0,0,0
CD56bright NK,23,0,0,410,0,0,1,0,1
CD56dim NK,1,1,0,5,593,0,0,0,0
Cycling NK,26,37,0,2,27,460,1,0,1
ILC2,0,4,1,0,0,1,167,0,1
ILC3,6,1,0,0,0,0,1,62,11
Naïve-like ILC,22,0,0,1,0,0,1,3,92
