,C1,C2,C3,CD56bright NK,CD56dim NK,Cycling NK,ILC2,ILC3,Naïve-like ILC
C1,597,9,0,1995,18,30,5,0,31
C2,331,758,0,384,827,662,14,0,2
C3,128,129,78,216,267,194,2,0,2
CD56bright NK,5,0,0,106,0,0,0,0,0
CD56dim NK,1,0,0,1,84,0,0,0,0
Cycling NK,146,61,0,242,68,1728,3,1,5
ILC2,3,0,0,8,0,2,123,0,1
ILC3,9,1,0,27,0,10,11,220,86
Naïve-like ILC,56,0,0,85,0,1,1,0,300
