split_seed,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
0,PCA_LR,0.9055819477434679,0.8807540507827487,0.8988446012521063,0.8886431659512923,0.9071603836663464,0.9055819477434679,0.9058221218670959
0,PCA_kNN,0.8871733966745843,0.9001476274241824,0.8546995171205043,0.8725056674423675,0.8925953573809947,0.8871733966745843,0.8865266494614055
0,PCA_MLP,0.9109263657957245,0.8997707671296895,0.8978381218055428,0.8979246782460429,0.9116851583823636,0.9109263657957245,0.9109370622025106
1,PCA_LR,0.899643705463183,0.8710192448787822,0.898035066000877,0.8825563371740002,0.9021590997678847,0.899643705463183,0.899727415106376
1,PCA_kNN,0.8779691211401425,0.897205335302411,0.848967651269299,0.8671888078997692,0.8830279869653294,0.8779691211401425,0.8764145320957487
1,PCA_MLP,0.8975653206650831,0.8924723812820674,0.8858248757531153,0.8889145502247009,0.8980169509670622,0.8975653206650831,0.8975675165392949
2,PCA_LR,0.8990498812351544,0.8771975493286736,0.9096749829775095,0.8904450679243681,0.9022796336587506,0.8990498812351544,0.8989452539557794
2,PCA_kNN,0.8877672209026128,0.9050918991805995,0.8619299914625741,0.8773563171069929,0.8938215618695751,0.8877672209026128,0.8864892213950157
2,PCA_MLP,0.9112232779097387,0.9088685887612366,0.9043959287219648,0.9061581922951029,0.911879542005343,0.9112232779097387,0.9112752591719552
3,PCA_LR,0.9032066508313539,0.8715509014397805,0.90399220878752,0.8854471391071954,0.9061074590405218,0.9032066508313539,0.9034830634308619
3,PCA_kNN,0.8850950118764845,0.8967645210976158,0.8600164069409764,0.874441562447592,0.8892036979122256,0.8850950118764845,0.8842781931626358
3,PCA_MLP,0.9067695961995249,0.9017518499101119,0.894809212118503,0.8976809427145843,0.9069450255277373,0.9067695961995249,0.9065458419159887
4,PCA_LR,0.9067695961995249,0.8830585125118503,0.9065046584254947,0.8936099916240678,0.907947923936135,0.9067695961995249,0.9066118529137583
4,PCA_kNN,0.8856888361045131,0.9031306527739899,0.8623274696526749,0.8784542255192036,0.8897769781328347,0.8856888361045131,0.8846149297930795
4,PCA_MLP,0.9109263657957245,0.9097960352732289,0.8976928928890072,0.9034619566293247,0.9105537532184347,0.9109263657957245,0.9106015530090451
5,PCA_LR,0.9052850356294537,0.8802503627789364,0.900906752888981,0.889449903765363,0.9069440383054368,0.9052850356294537,0.9053832057674192
5,PCA_kNN,0.8845011876484561,0.9014407614554885,0.8516733030626825,0.8711974017945725,0.8889835028892352,0.8845011876484561,0.8832491556653843
5,PCA_MLP,0.9082541567695962,0.9040206637347994,0.883578994229548,0.8929512768941811,0.9092786282715167,0.9082541567695962,0.9083090624233241
6,PCA_LR,0.9002375296912114,0.8682546513150636,0.896348166671035,0.8806501913304571,0.9023413157100858,0.9002375296912114,0.9002211088250599
6,PCA_kNN,0.8886579572446556,0.9101350942292287,0.8651274757550974,0.8830053259365007,0.8935729600910907,0.8886579572446556,0.8879256496632691
6,PCA_MLP,0.9061757719714965,0.8989698540869251,0.9014015570404464,0.8989103261517699,0.9067036794564155,0.9061757719714965,0.9055792800314163
7,PCA_LR,0.9055819477434679,0.8781559818008469,0.9027413845409923,0.8891498809365659,0.9076009490710512,0.9055819477434679,0.9056701567544521
7,PCA_kNN,0.8791567695961995,0.8949135034289495,0.8549270707115213,0.8697550354632049,0.884992151477184,0.8791567695961995,0.8783649421396658
7,PCA_MLP,0.9040973871733967,0.9044146971371225,0.8841210664296628,0.8934002492885544,0.9061830698860467,0.9040973871733967,0.9043669868704618
8,PCA_LR,0.9070665083135392,0.8759639256071623,0.910327658072356,0.8911350421629707,0.9094431589138363,0.9070665083135392,0.9069571128286776
8,PCA_kNN,0.8853919239904988,0.9069385500001397,0.8531240772521433,0.8733413111355368,0.8905659852102986,0.8853919239904988,0.8838552671774405
8,PCA_MLP,0.9130047505938242,0.9106201405165576,0.8998554442841695,0.9047881375588092,0.9128882635153515,0.9130047505938242,0.912721965625198
9,PCA_LR,0.9032066508313539,0.8758898575003519,0.9037456528569491,0.8884795472180538,0.9049407471899439,0.9032066508313539,0.9032479850556305
9,PCA_kNN,0.8937054631828979,0.9122268843810948,0.8685239455676121,0.8861009608329439,0.8975128064178249,0.8937054631828979,0.892709250404844
9,PCA_MLP,0.911520190023753,0.9149092224314825,0.9050991419489041,0.9094559979886812,0.9123130854811184,0.911520190023753,0.9115686543990308
