model,setting,train_tissue,test_tissue,n_train,n_test,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
logreg_cross_tissue_blood_to_synovial,cross_tissue_blood_to_synovial,blood,synovial fluid,6762,10074,0.7504466944609887,0.6658347287297124,0.6921798550012409,0.6705690062488413,0.7678448504397006,0.7504466944609887,0.753498922080178
knn_cross_tissue_blood_to_synovial,cross_tissue_blood_to_synovial,blood,synovial fluid,6762,10074,0.39646615048640066,0.6099524160112728,0.6034882469971482,0.44459314917999887,0.6849604440306186,0.39646615048640066,0.437608786245832
