,C1,C2,C3,CD56bright NK,CD56dim NK,Cycling NK,ILC2,ILC3,Naïve-like ILC
C1,290,89,21,116,6,7,4,1,66
C2,39,448,51,27,5,7,4,0,19
C3,9,32,151,5,2,5,0,0,1
CD56bright NK,21,7,5,395,2,2,1,0,2
CD56dim NK,0,2,1,11,586,0,0,0,0
Cycling NK,20,29,20,4,26,442,4,2,7
ILC2,3,1,1,0,0,0,163,4,2
ILC3,1,0,1,0,0,0,1,65,13
Naïve-like ILC,6,2,5,2,0,0,10,13,81
