,precision,recall,f1-score,support
ILC,0.7404255319148936,0.93048128342246,0.8246445497630331,374.0
NK,0.9910282953761215,0.9592518370073481,0.9748811948404617,2994.0
accuracy,0.9560570071258907,0.9560570071258907,0.9560570071258907,0.9560570071258907
macro avg,0.8657269136455075,0.944866560214904,0.8997628723017475,3368.0
weighted avg,0.963200078768491,0.9560570071258907,0.9581981469607235,3368.0
