model,n_cells,observed_weighted_f1,bootstrap_mean,ci95_low,ci95_high
PCA_LR,3368,0.9068244192112599,0.9068205351777874,0.896547793031928,0.9162628401612062
PCA_MLP,3368,0.9141323921885036,0.9141059437815474,0.9045603012636838,0.9232438498695502
scGPT_LR,3368,0.7759043373555907,0.7760794335066702,0.7613539925633732,0.7902428812595408
scGPT_MLP,3368,0.858251449894447,0.8582353262259963,0.8462678735016819,0.8696191048244245
UCE_LR,3368,0.8375525223969967,0.837601015703104,0.8251241517881219,0.8496257620501871
UCE_MLP,3368,0.8558206431964628,0.8557754906597145,0.8437484853020775,0.8668371565309804
Geneformer_LR,3368,0.7018234939227986,0.7018840840422588,0.6858014808586708,0.717566828784636
Geneformer_MLP,3368,0.7009945270058392,0.7010808927896699,0.6854892817946404,0.7170788290293695
