,precision,recall,f1-score,support
ILC,0.8302325581395349,0.9545454545454546,0.8880597014925373,374.0
NK,0.994213750850919,0.9756179024716098,0.9848280512474713,2994.0
accuracy,0.9732779097387173,0.9732779097387173,0.9732779097387173,0.9732779097387173
macro avg,0.912223154495227,0.9650816785085322,0.9364438763700043,3368.0
weighted avg,0.9760044378835622,0.9732779097387173,0.9740823972069887,3368.0
