precision,recall,f1-score,support,model,celltype_l4
0.8828996282527881,0.7916666666666666,0.8347978910369068,600.0,logistic_regression,C1
0.9081803005008348,0.9066666666666666,0.9074228523769808,600.0,logistic_regression,C2
0.7964601769911505,0.8780487804878049,0.8352668213457076,205.0,logistic_regression,C3
0.8817204301075269,0.942528735632184,0.9111111111111112,435.0,logistic_regression,CD56bright NK
0.98,0.98,0.98,600.0,logistic_regression,CD56dim NK
0.9328493647912884,0.927797833935018,0.930316742081448,554.0,logistic_regression,Cycling NK
0.9828571428571428,0.9885057471264368,0.98567335243553,174.0,logistic_regression,ILC2
0.8690476190476191,0.9012345679012346,0.8848484848484849,81.0,logistic_regression,ILC3
0.7538461538461538,0.8235294117647058,0.7871485943775101,119.0,logistic_regression,Naïve-like ILC
0.8114104595879557,0.8533333333333334,0.8318440292445166,600.0,knn,C1
0.8323529411764706,0.9433333333333334,0.884375,600.0,knn,C2
0.9924812030075189,0.6439024390243903,0.7810650887573964,205.0,knn,C3
0.8855291576673866,0.942528735632184,0.9131403118040088,435.0,knn,CD56bright NK
0.9457735247208932,0.9883333333333332,0.9665851670741646,600.0,knn,CD56dim NK
0.9465020576131687,0.8303249097472925,0.8846153846153846,554.0,knn,Cycling NK
0.9766081871345028,0.9597701149425288,0.9681159420289857,174.0,knn,ILC2
0.953846153846154,0.7654320987654321,0.8493150684931506,81.0,knn,ILC3
0.8214285714285714,0.773109243697479,0.7965367965367965,119.0,knn,Naïve-like ILC
